data,hora,cidade,Temperatura (°C),Umidade (%),Precipitação (mm),Vento (km/h)
24/07/2024,19:00,Belo Horizonte,19.1,80.0,0.0,3.8
24/07/2024,19:30,Sao Paulo,16.6,90.0,0.0,7.3
24/07/2024,20:00,Salvador,26.1,79.0,0.0,8.2
24/07/2024,21:30,Goiania,22.2,81.0,0.0,5.1
24/07/2024,21:30,Rio de Janeiro,21.5,88.0,0.2,2.5
25/07/2024,20:00,Sao Paulo,16.6,90.0,0.0,7.3
28/07/2024,19:00,Porto Alegre,19.4,79.0,0.0,17.6
27/07/2024,19:00,Caxias do Sul,13.8,90.0,0.0,10.2
27/07/2024,19:00,Sao Paulo,16.6,90.0,0.0,7.3
27/07/2024,20:00,Salvador,26.1,79.0,0.0,8.2
27/07/2024,21:30,Rio de Janeiro,21.5,88.0,0.2,2.5
27/07/2024,21:30,Fortaleza,26.5,87.0,2.4,11.9
28/07/2024,11:00,Braganca Paulista,16.0,88.0,0.0,10.9
28/07/2024,16:00,Rio de Janeiro,21.5,88.0,0.2,2.5
28/07/2024,19:00,Belo Horizonte,19.1,80.0,0.0,3.8
28/07/2024,19:00,Cuiaba,23.3,92.0,0.0,1.8
05/08/2024,21:00,Belo Horizonte,19.1,80.0,0.0,3.8
03/08/2024,16:00,Salvador,26.1,79.0,0.0,8.2
03/08/2024,19:00,Rio de Janeiro,21.5,88.0,0.2,2.5
03/08/2024,20:00,Goiania,22.2,81.0,0.0,5.1
03/08/2024,20:00,Criciuma,15.9,98.0,0.0,3.6
03/08/2024,21:30,Sao Paulo,16.6,90.0,0.0,7.3
04/08/2024,16:00,Curitiba,13.6,97.0,0.0,8.1
04/08/2024,16:00,Sao Paulo,16.6,90.0,0.0,7.3
04/08/2024,16:00,Rio de Janeiro,21.5,88.0,0.2,2.5
04/08/2024,17:00,Porto Alegre,19.4,79.0,0.0,17.6
11/08/2024,19:00,Porto Alegre,19.4,79.0,0.0,17.6
10/08/2024,16:00,Fortaleza,26.5,87.0,2.4,11.9
10/08/2024,19:00,Cuiaba,23.3,92.0,0.0,1.8
10/08/2024,21:30,Sao Paulo,16.6,90.0,0.0,7.3
10/08/2024,21:30,Belo Horizonte,19.1,80.0,0.0,3.8
10/08/2024,21:30,Rio de Janeiro,21.5,88.0,0.2,2.5
11/08/2024,11:00,Caxias do Sul,13.8,90.0,0.0,10.2
11/08/2024,16:00,Salvador,26.1,79.0,0.0,8.2
11/08/2024,16:00,Rio de Janeiro,21.5,88.0,0.2,2.5
11/08/2024,16:00,Sao Paulo,16.6,90.0,0.0,7.3
19/08/2024,20:00,Salvador,26.1,79.0,0.0,8.2
17/08/2024,16:00,Belo Horizonte,19.1,80.0,0.0,3.8
17/08/2024,16:00,Porto Alegre,19.4,79.0,0.0,17.6
17/08/2024,18:30,Braganca Paulista,16.0,88.0,0.0,10.9
17/08/2024,21:00,Rio de Janeiro,21.5,88.0,0.2,2.5
18/08/2024,16:00,Goiania,22.2,81.0,0.0,5.1
18/08/2024,16:00,Criciuma,15.9,98.0,0.0,3.6
18/08/2024,16:00,Sao Paulo,16.6,90.0,0.0,7.3
18/08/2024,18:30,Curitiba,13.6,97.0,0.0,8.1
18/08/2024,18:30,Rio de Janeiro,21.5,88.0,0.2,2.5
26/08/2024,?,Rio de Janeiro,,,,
24/08/2024,16:00,Goiania,22.2,81.0,0.0,5.1
24/08/2024,18:30,Sao Paulo,16.6,90.0,0.0,7.3
24/08/2024,21:00,Belo Horizonte,19.1,80.0,0.0,3.8
25/08/2024,16:00,Salvador,26.1,79.0,0.0,8.2
25/08/2024,16:00,Criciuma,15.9,98.0,0.0,3.6
25/08/2024,16:00,Fortaleza,26.5,87.0,2.4,11.9
25/08/2024,18:30,Sao Paulo,16.6,90.0,0.0,7.3
25/08/2024,19:00,Porto Alegre,19.4,79.0,0.0,17.6
25/08/2024,20:00,Rio de Janeiro,21.5,88.0,0.2,2.5
01/09/2024,18:30,Salvador,26.1,79.0,0.0,8.2
31/08/2024,18:30,Cuiaba,23.3,92.0,0.0,1.8
31/08/2024,21:00,Rio de Janeiro,21.5,88.0,0.2,2.5
01/09/2024,11:00,Belo Horizonte,19.1,80.0,0.0,3.8
01/09/2024,11:00,Porto Alegre,19.4,79.0,0.0,17.6
01/09/2024,16:00,Sao Paulo,16.6,90.0,0.0,7.3
01/09/2024,18:30,Curitiba,13.6,97.0,0.0,8.1
01/09/2024,18:30,Rio de Janeiro,21.5,88.0,0.2,2.5
01/09/2024,18:30,Caxias do Sul,13.8,90.0,0.0,10.2
01/09/2024,18:30,Braganca Paulista,16.0,88.0,0.0,10.9
16/09/2024,20:00,Porto Alegre,19.4,79.0,0.0,17.6
14/09/2024,16:00,Goiania,22.2,81.0,0.0,5.1
14/09/2024,18:30,Curitiba,13.6,97.0,0.0,8.1
14/09/2024,21:00,Rio de Janeiro,21.5,88.0,0.2,2.5
15/09/2024,16:00,Caxias do Sul,13.8,90.0,0.0,10.2
15/09/2024,16:00,Sao Paulo,16.6,90.0,0.0,7.3
15/09/2024,16:00,Braganca Paulista,16.0,88.0,0.0,10.9
15/09/2024,18:30,Salvador,26.1,79.0,0.0,8.2
15/09/2024,18:30,Belo Horizonte,19.1,80.0,0.0,3.8
15/09/2024,18:30,Rio de Janeiro,21.5,88.0,0.2,2.5
22/09/2024,20:00,Criciuma,15.9,98.0,0.0,3.6
21/09/2024,16:00,Sao Paulo,16.6,90.0,0.0,7.3
21/09/2024,16:00,Salvador,26.1,79.0,0.0,8.2
21/09/2024,18:30,Rio de Janeiro,21.5,88.0,0.2,2.5
21/09/2024,21:00,Fortaleza,26.5,87.0,2.4,11.9
22/09/2024,16:00,Belo Horizonte,19.1,80.0,0.0,3.8
22/09/2024,16:00,Rio de Janeiro,21.5,88.0,0.2,2.5
22/09/2024,18:30,Cuiaba,23.3,92.0,0.0,1.8
22/09/2024,18:30,Porto Alegre,19.4,79.0,0.0,17.6
22/09/2024,18:30,Sao Paulo,16.6,90.0,0.0,7.3
29/09/2024,20:00,Rio de Janeiro,21.5,88.0,0.2,2.5
28/09/2024,18:30,Campinas,17.1,81.0,0.0,21.3
28/09/2024,21:00,Brasilia,19.8,82.0,0.0,11.5
29/09/2024,11:00,Caxias do Sul,13.8,90.0,0.0,10.2
29/09/2024,16:00,Goiania,22.2,81.0,0.0,5.1
29/09/2024,16:00,Fortaleza,26.5,87.0,2.4,11.9
29/09/2024,16:00,Brasilia,19.8,82.0,0.0,11.5
29/09/2024,18:30,Salvador,26.1,79.0,0.0,8.2
29/09/2024,18:30,Belo Horizonte,19.1,80.0,0.0,3.8
29/09/2024,18:30,Porto Alegre,19.4,79.0,0.0,17.6
