Imagem,Mandante,Visitante,Placar
rodada_5_jogo_6.png,Botafogo,Bahia,1 x 2
rodada_5_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_5_jogo_8.png,Juventude,Atlético-GO,1 x 0
rodada_5_jogo_9.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_6_jogo_1.png,Flamengo,Corinthians,2 x 0
rodada_6_jogo_10.png,Atlético-MG,Grêmio,2 x 1
rodada_6_jogo_2.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_6_jogo_3.png,L,Fortaleza,1 x 1
rodada_6_jogo_4.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_6_jogo_5.png,Bahia,RB Bragantino,1 x 0
rodada_6_jogo_6.png,Vasco,Vitória,2 x 1
rodada_6_jogo_7.png,São Paulo,Fluminense,2 x 1
rodada_6_jogo_8.png,Criciúma,Cuiabá,2 x 5
rodada_6_jogo_9.png,Internacional,Juventude,2 x 1
rodada_7_jogo_1.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_7_jogo_10.png,São Paulo,Cruzeiro,2 x 0
rodada_7_jogo_2.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_7_jogo_3.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_7_jogo_4.png,Fluminense,Juventude,1 x 1
rodada_7_jogo_5.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_7_jogo_6.png,Atlético-MIG,Bahia,1 x 1
rodada_7_jogo_7.png,Criciúma,Palmeiras,1 x 2
rodada_7_jogo_8.png,Vasco,Flamengo,1 x 6
rodada_7_jogo_9.png,Fortaleza,Athletico,1 x 0
rodada_8_jogo_1.png,Atlético-GO,Corinthians,2 x 2
rodada_8_jogo_10.png,Palmeiras,Vasco,2 x 0
rodada_8_jogo_2.png,Juventude,Vitória,1 x 1
rodada_8_jogo_3.png,Botafogo,Fluminense,1 x 0
rodada_8_jogo_4.png,RB Bragantino,Atlético-MG,1 x 2
rodada_8_jogo_5.png,Cruzeiro,Cuiabá,2 x 1
rodada_8_jogo_6.png,Athletico,Criciúma,3 x 1
rodada_8_jogo_7.png,Flamengo,Grêmio,2 x 1
rodada_8_jogo_8.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_8_jogo_9.png,Bahia,Fortaleza,1 x 0
rodada_9_jogo_1.png,RB Bragantino,Juventude,2 x 1
rodada_9_jogo_10.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_9_jogo_2.png,Fluminense,Atlético-GO,1 x 2
rodada_9_jogo_3.png,Athletico,Flamengo,1 x 1
rodada_9_jogo_4.png,Corinthians,São Paulo,2 x 2
rodada_9_jogo_5.png,Vitória,Internacional,2 x 1
rodada_9_jogo_6.png,Criciúma,Bahia,2 x 2
rodada_9_jogo_7.png,Erro na leitura,Erro na leitura,Erro na leitura
rodada_9_jogo_8.png,Grêmio,Botafogo,1 x 2
rodada_9_jogo_9.png,Erro na leitura,Erro na leitura,Erro na leitura
